,ccode,cname,con_true,labour_true,libdem_true,other_true,con_est,labour_est,libdem_est,other_est,winner,predicted_winner,correct
440,E14000970,Stockton North,40.5797462463379,43.0751304626465,3.96297025680542,12.3821563720703,31.9240507752357,24.3174708196809,8.11938922892184,13.0596764693027,labour,con,0
441,E14000971,Stockton South,50.6623878479004,41.0641937255859,4.26626777648926,4.0071530342102,30.8683200619398,27.8417882764531,8.69888626352619,12.5075512384284,con,con,1
442,E14000972,Stoke-on-Trent Central,45.3913307189941,43.3021507263184,3.47988796234131,7.82662916183472,21.5785209394943,28.833219190651,6.89666754910312,16.9139611381066,con,labour,0
443,E14000973,Stoke-on-Trent North,52.2599296569824,36.5973968505859,3.15941619873047,7.98325645923615,27.0210737265333,28.4950718166211,7.11512843447085,12.0419486596157,con,labour,0
444,E14000974,Stoke-on-Trent South,62.1957359313965,33.7364921569824,4.06777095794678,0.0,33.0465636220657,23.4033829286139,7.40221772694165,12.4160486320465,con,con,1
445,E14000975,Stone,63.5736236572266,23.5579719543457,8.8517951965332,4.01661205291748,35.1856380381279,16.6628536929349,15.9746445487597,11.1958028653072,con,con,1
446,E14000976,Stourbridge,60.2639541625977,30.5609664916992,5.52211713790894,3.65295791625977,38.6348148625711,14.059991937068,10.3743190440418,12.169988781854,con,con,1
447,E14000977,Stratford-on-Avon,60.5707778930664,11.3028631210327,24.2897109985352,3.83665156364441,33.5904109052531,14.357998453311,23.3643383414498,9.67373627999738,con,con,1
448,E14000978,Streatham,16.0317096710205,54.8121681213379,23.509635925293,5.64648807048798,20.2952776766369,33.0012296986136,16.0905022056696,10.6534626234777,labour,labour,1
449,E14000979,Stretford and Urmston,27.5191249847412,60.3091850280762,5.9300537109375,6.24163627624512,21.8336766664871,39.1996816945521,8.90827219179203,12.1964372475841,labour,labour,1
450,E14000980,Stroud,47.9023208618164,42.0779609680176,,10.0197173953056,29.8168942000894,29.4666613992446,8.8468665833866,12.8421193310607,con,con,1
451,E14000981,Suffolk Coastal,56.5239791870117,21.309253692627,14.953351020813,7.21341848373413,35.3497243265444,18.4164039351427,10.9477253897981,13.8126365221542,con,con,1
452,E14000982,Sunderland Central,35.3574409484863,42.174991607666,6.95786190032959,15.5097064971924,27.5828837856902,26.6504322939138,10.5247605313219,12.0491829658214,labour,con,0
453,E14000983,Surrey Heath,58.5774192810059,9.21846771240234,27.2939624786377,4.91015076637268,29.9021630403005,15.3238280454604,22.1154530336371,10.9624856275663,con,con,1
454,E14000984,Sutton and Cheam,49.9831657409668,14.2610969543457,33.4422721862793,2.31346678733826,31.5950921638993,9.90662816691312,24.3771991200241,10.7936348387523,con,con,1
455,E14000985,Sutton Coldfield,60.3994255065918,23.5680828094482,12.1509799957275,3.88151001930237,33.6845046466377,15.3114149694669,11.1058938504523,17.549944551255,con,con,1
456,E14000986,Tamworth,66.3149261474609,23.684211730957,5.26750040054321,4.73336780071259,32.6365110082455,21.4862481035246,9.0622452934648,12.7954906717938,con,con,1
457,E14000987,Tatton,57.7470550537109,22.2394676208496,15.7493829727173,4.2640962600708,31.0617115572116,21.1387794155989,14.860502403242,13.165198516489,con,con,1
458,E14000988,Taunton Deane,53.6048812866211,7.39805126190186,35.2470474243164,3.75001955032349,31.1934269857013,9.3946248378323,24.2004847127193,12.1088370731276,con,con,1
459,E14000989,Telford,59.6520729064941,34.1039123535156,6.24401664733887,0.0,26.8297316584843,23.584116240914,10.9006800660889,13.5213174720495,con,con,1
460,E14000990,Tewkesbury,58.4363746643066,15.2273473739624,21.7827930450439,4.5534839630127,36.8165677687086,18.2343354115812,11.0731423593096,11.928070923509,con,con,1
461,E14000991,The Cotswolds,58.0031394958496,11.6222047805786,24.9607677459717,5.41388750076294,34.6350284512737,14.3055199268216,14.8968324427157,14.6986661982924,con,con,1
462,E14000992,The Wrekin,63.4669647216797,25.1646556854248,8.31867408752441,3.04970359802246,36.6156728527484,16.8842034251836,12.874407536724,9.82435758011401,con,con,1
463,E14000993,Thirsk and Malton,62.970947265625,18.5198268890381,11.9707365036011,6.53848886489868,33.849091920207,21.3858018080734,13.205183299752,11.5895977708006,con,con,1
464,E14000994,Thornbury and Yate,57.8106155395508,8.05466747283936,34.1347160339355,0.0,31.0887914495461,10.3093378837133,23.4966344587626,11.8530366491323,con,con,1
465,E14000995,Thurrock,58.5564727783203,34.3670349121094,3.18115735054016,3.89533770084381,27.3899214678162,28.0397296386747,9.12392596783096,11.1944355256534,con,labour,0
466,E14000996,Tiverton and Honiton,60.210018157959,19.5494270324707,14.7736234664917,5.46692848205566,34.1623433882586,13.3721177905464,12.4634527703262,15.400844434534,con,con,1
467,E14000997,Tonbridge and Malling,62.7756423950195,14.5360765457153,15.5132188796997,7.17506122589111,32.0861066646845,16.1882439324878,13.8858255945401,14.0466402452535,con,con,1
468,E14000998,Tooting,28.2249927520752,52.6926918029785,14.2031373977661,4.87917517125607,16.7544423180676,46.9574852033062,11.8966979856696,8.9885121882001,labour,labour,1
469,E14000999,Torbay,59.221435546875,13.0131273269653,24.0233211517334,3.74211716651917,35.279517980619,17.3060932457865,9.5440263818827,14.180603211055,con,con,1
470,E14001000,Torridge and West Devon,60.1104965209961,17.2275238037109,18.2688770294189,4.39310216903687,33.2988129209981,12.381377100909,18.0990273545967,14.7510855685704,con,con,1
471,E14001001,Totnes,53.1811714172363,16.9790344238281,28.7972869873047,1.04250502586365,32.3673605587459,13.4773710561198,19.3648626333224,13.1575113288237,con,con,1
472,E14001002,Tottenham,11.6228446960449,76.0222778320312,6.7611403465271,5.59373387694359,17.6814641558951,35.4820124530054,11.7199487531771,11.7141376664119,labour,labour,1
473,E14001003,Truro and Falmouth,46.0162200927734,38.3105239868164,12.0797433853149,3.59351235628128,29.3729872348653,24.4570319886333,11.846792135294,13.4683779671664,con,con,1
474,E14001004,Tunbridge Wells,55.1125335693359,14.8179321289062,28.3147296905518,1.75480329990387,34.993371925133,13.5032513746723,20.7810377268051,9.04611115971515,con,con,1
475,E14001005,Twickenham,34.1767044067383,8.48952770233154,56.0687141418457,1.26505744457245,31.2843394514886,9.86909177296096,31.6422177416248,8.89791768445634,libdem,libdem,1
476,E14001006,Tynemouth,39.3885841369629,48.0565376281738,6.76553535461426,5.78934192657471,25.2369835510756,37.9611976897169,11.803779067909,9.48907177537478,labour,labour,1
477,E14001007,Uxbridge and South Ruislip,52.6096229553223,37.6470832824707,6.27970170974731,3.46358966827393,28.5912754438609,26.7198740494423,12.324931859358,10.001695443872,con,con,1
478,E14001008,Vauxhall,16.7255439758301,56.1216354370117,21.3072261810303,5.84559664130211,19.9855006703636,32.4067809947354,17.6881733567013,9.68437452447547,labour,labour,1
479,E14001009,Wakefield,47.2671966552734,39.8094482421875,3.93541646003723,8.98794031143188,29.8490301667888,22.6205563178148,9.92047288113596,11.6207563453197,con,con,1
480,E14001010,Wallasey,24.9053592681885,64.3142852783203,3.9641227722168,6.81622624397278,24.9564885679098,29.5290192295622,11.3296162974634,13.0600108515447,labour,labour,1
481,E14001011,Walsall North,63.8308334350586,31.1002292633057,3.38111400604248,1.68782138824463,32.2169481434407,22.2946084115301,8.58542362627783,10.665982179262,con,con,1
482,E14001012,Walsall South,41.0058364868164,49.1429672241211,3.77189660072327,6.07929921150208,28.688577222719,19.9780008204338,8.52019596521307,14.1412775694655,labour,con,0
483,E14001013,Walthamstow,12.2519912719727,76.1022033691406,5.94600200653076,5.69980359077454,19.788879140557,33.6135378928101,9.5717619979875,14.0917925644802,labour,labour,1
484,E14001014,Wansbeck,40.2626571655273,42.272087097168,6.26774263381958,11.1975119113922,23.5652675475754,31.7195235159246,8.39083435708705,16.1042925304697,labour,labour,1
485,E14001015,Wantage,50.742115020752,15.1563863754272,31.9056739807129,2.19582271575928,27.3425887006498,13.5995875737626,26.9652636203558,11.1147792555909,con,con,1
486,E14001016,Warley,27.9008560180664,58.8119964599609,4.26434659957886,9.02279829978943,21.9085924736277,26.0824431028521,8.98529455062884,14.752566755631,labour,labour,1
487,E14001017,Warrington North,40.9325675964355,44.1661109924316,6.58066701889038,8.32065510749817,29.6297359821206,23.107438425994,9.42249868693355,14.3779057351458,labour,con,0
488,E14001018,Warrington South,45.5370826721191,42.2898597717285,9.26024723052979,2.91280972957611,33.5695093712218,22.8883686625392,11.2038334134996,11.3017123515111,con,con,1
489,E14001019,Warwick and Leamington,42.3005256652832,43.7561111450195,9.21501731872559,4.72834622859955,27.1410333433215,30.3877332236304,12.0574036876903,10.7617607741237,labour,labour,1
